Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2021,CA,California,Mariposa,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,8,,,6.2,10.1,17147,06043,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-119.9117215 37.5743432)
2021,CA,California,Sonoma,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,14,,,11.7,16.5,485887,06097,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-122.9261095 38.5251824)
2021,CA,California,Tehama,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,5.9,,,5.2,6.8,65498,06103,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-122.2322737 40.1261573)
2021,CA,California,Sonoma,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,25.1,,,21.2,29.2,485887,06097,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-122.9261095 38.5251824)
2021,CA,California,Inyo,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,,,5.5,6.8,18970,06027,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-117.4042092 36.5621604)
2021,CA,California,Sutter,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,6,,,5.1,7.2,99063,06101,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-121.7039397 39.0361898)
2021,CA,California,Alpine,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,18.1,,,15.5,20.7,1235,06003,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-119.7983522 38.6217831)
2021,CA,California,San Francisco,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.2,,,7.2,9.3,815201,06075,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-123.0322294 37.7272391)
2021,CA,California,Humboldt,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,17.8,,,15.2,20.4,136310,06023,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-123.9261757 40.7066554)
2020,CA,California,Merced,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,78.3,,,75.8,80.7,286461,06047,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-120.7228019 37.1948063)
2021,CA,California,Alameda,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,12.9,,,10.9,14.9,1648556,06001,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-121.912488 37.6471385)
2021,CA,California,Trinity,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,19.1,,,16.4,21.8,16060,06105,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-123.114666 40.6478582)
2021,CA,California,Placer,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,18.2,,,15.0,21.6,412300,06061,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-120.7227181 39.0620323)
2021,CA,California,San Diego,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,11.7,,,10.1,13.7,3286069,06073,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-116.7761174 33.0236041)
2021,CA,California,Colusa,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,33.4,,,25.5,41.7,21917,06011,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-122.2375629 39.1777385)
2021,CA,California,Santa Clara,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,8.9,,,7.5,10.4,1885508,06085,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-121.6895401 37.2216142)
2021,CA,California,Sonoma,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,4,,,3.4,4.6,485887,06097,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-122.9261095 38.5251824)
2021,CA,California,Stanislaus,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,14.2,,,11.3,17.8,552999,06099,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-121.0028311 37.5623162)
2021,CA,California,San Mateo,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,11.7,,,10.1,13.6,737888,06081,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-122.3715457 37.4146725)
2021,CA,California,Siskiyou,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,20,,,17.0,23.4,44118,06093,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-122.5332868 41.5879861)
2020,CA,California,Los Angeles,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,59.6,,,56.6,62.7,9829544,06037,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-118.2618616 34.1963983)
2021,CA,California,Contra Costa,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.6,,,5.1,6.2,1161413,06013,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-121.9515431 37.919479)
2020,CA,California,Nevada,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,39.4,,,30.9,48.3,103487,06057,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-120.7713429 39.2975082)
2020,CA,California,Mendocino,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,62.7,,,59.5,65.8,91305,06045,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-123.4428811 39.4323876)
2021,CA,California,Trinity,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.3,,,5.6,7.0,16060,06105,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-123.114666 40.6478582)
2021,CA,California,Santa Clara,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,16.9,,,13.8,20.3,1885508,06085,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-121.6895401 37.2216142)
2021,CA,California,Mono,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,29.8,,,22.7,38.0,13247,06051,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-118.8751668 37.9158363)
2021,CA,California,Modoc,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,15.6,,,12.3,19.1,8661,06049,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-120.7183704 41.5929185)
2021,CA,California,Tulare,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,34.9,,,30.1,40.0,477054,06107,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-118.7810551 36.2288339)
2021,CA,California,Santa Cruz,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,8.8,,,6.6,11.2,267792,06087,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-122.0077889 37.0123466)
2021,CA,California,Kern,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,36.6,,,30.5,43.0,917673,06029,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-118.7295064 35.3466288)
2021,CA,California,Marin,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,5.3,,,4.1,6.7,260206,06041,HLTHOUT,COPD,CrdPrv,COPD,POINT (-122.7463958 38.0513667)
2021,CA,California,San Francisco,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,3.8,,,3.1,4.6,815201,06075,HLTHOUT,COPD,CrdPrv,COPD,POINT (-123.0322294 37.7272391)
2020,CA,California,Fresno,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,29.9,,,24.5,35.6,1013581,06019,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-119.6550193 36.7610058)
2021,CA,California,Imperial,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,22.5,,,17.4,28.5,179851,06025,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-115.3554001 33.0408143)
2021,CA,California,Santa Barbara,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.5,,,4.7,6.4,446475,06083,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-120.0383645 34.5366774)
2021,CA,California,Sutter,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,5.9,,,5.1,6.7,99063,06101,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-121.7039397 39.0361898)
2021,CA,California,Inyo,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,7.3,,,6.2,8.5,18970,06027,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-117.4042092 36.5621604)
2021,CA,California,Plumas,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,21.3,,,17.4,25.6,19915,06063,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-120.8243709 39.9922953)
2021,CA,California,San Benito,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,5.2,,,4.4,6.0,66677,06069,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-121.0858108 36.6116507)
2021,CA,California,Mendocino,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.7,,,13.6,18.1,91305,06045,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-123.4428811 39.4323876)
2021,CA,California,San Diego,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,8.9,,,7.0,11.0,3286069,06073,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-116.7761174 33.0236041)
2021,CA,California,Modoc,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,5.3,,,4.5,6.1,8661,06049,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-120.7183704 41.5929185)
2021,CA,California,Marin,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,5.3,,,4.4,6.4,260206,06041,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-122.7463958 38.0513667)
2020,CA,California,El Dorado,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,7.8,,,5.0,11.4,193221,06017,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-120.5342245 38.7856116)
2021,CA,California,San Benito,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.1,,,4.4,5.8,66677,06069,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-121.0858108 36.6116507)
2021,CA,California,Los Angeles,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,9.2,,,8.1,10.4,9829544,06037,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-118.2618616 34.1963983)
2021,CA,California,Los Angeles,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,12.1,,,10.4,13.8,9829544,06037,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-118.2618616 34.1963983)
2021,CA,California,Inyo,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.9,,,10.0,14.0,18970,06027,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-117.4042092 36.5621604)
2020,CA,California,San Diego,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,39.3,,,33.2,45.1,3286069,06073,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-116.7761174 33.0236041)
2021,CA,California,Inyo,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,7.3,,,6.3,8.4,18970,06027,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-117.4042092 36.5621604)
2021,CA,California,Contra Costa,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,5.9,,,5.1,6.9,1161413,06013,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-121.9515431 37.919479)
2021,CA,California,Sonoma,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,35,,,30.5,39.5,485887,06097,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-122.9261095 38.5251824)
2021,CA,California,Del Norte,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,17.4,,,14.1,20.9,28100,06015,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-123.9809983 41.7499033)
2021,CA,California,Sierra,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,3.1,,,2.7,3.6,3283,06091,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-120.5219926 39.5769252)
2021,CA,California,Mariposa,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,36.4,,,31.4,40.9,17147,06043,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-119.9117215 37.5743432)
2021,CA,California,Shasta,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,15,,,12.7,17.4,182139,06089,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-122.0435558 40.7605142)
2021,CA,California,Mendocino,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,64.9,,,58.9,70.5,91305,06045,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-123.4428811 39.4323876)
2021,CA,California,Sacramento,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,4.9,,,4.3,5.5,1588921,06067,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-121.3443291 38.4501363)
2021,CA,California,Butte,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,21.5,,,17.5,25.7,208309,06007,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-121.6032086 39.6653362)
2021,CA,California,Tulare,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3.3,,,3.0,3.7,477054,06107,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-118.7810551 36.2288339)
2021,CA,California,San Luis Obispo,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.6,,,6.8,8.3,283159,06079,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-120.4488974 35.3881891)
2021,CA,California,Solano,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,15.1,,,12.4,18.2,451716,06095,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-121.939594 38.2672255)
2020,CA,California,Alpine,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,9.1,,,6.1,12.6,1235,06003,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-119.7983522 38.6217831)
2021,CA,California,Lassen,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,5.6,,,4.9,6.4,33159,06035,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-120.6212225 40.7152866)
2020,CA,California,San Benito,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,30.4,,,25.0,35.9,66677,06069,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-121.0858108 36.6116507)
2020,CA,California,Mariposa,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,10.4,,,6.7,14.4,17147,06043,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-119.9117215 37.5743432)
2021,CA,California,San Mateo,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,8.8,,,7.5,10.4,737888,06081,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-122.3715457 37.4146725)
2021,CA,California,Sacramento,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,63.1,,,58.3,67.5,1588921,06067,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-121.3443291 38.4501363)
2021,CA,California,Orange,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,19.6,,,17.1,22.4,3167809,06059,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-117.7772068 33.6756872)
2021,CA,California,Calaveras,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.9,,,8.8,11.2,46221,06009,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-120.5541065 38.1910682)
2021,CA,California,Fresno,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,30.8,,,27.2,34.6,1013581,06019,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-119.6550193 36.7610058)
2021,CA,California,Alameda,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,84.7,,,82.1,87.1,1648556,06001,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-121.912488 37.6471385)
2020,CA,California,San Diego,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,82.7,,,80.9,84.4,3286069,06073,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-116.7761174 33.0236041)
2021,CA,California,Mendocino,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,15.1,,,12.2,18.6,91305,06045,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-123.4428811 39.4323876)
2021,CA,California,Colusa,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,16,,,13.6,18.7,21917,06011,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-122.2375629 39.1777385)
2021,CA,California,Kings,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,15.1,,,12.4,18.1,153443,06031,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-119.8155301 36.072478)
2021,CA,California,Butte,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,16.3,,,13.1,19.6,208309,06007,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-121.6032086 39.6653362)
2021,CA,California,Shasta,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,27,,,23.4,30.9,182139,06089,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-122.0435558 40.7605142)
2021,CA,California,Nevada,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.4,,,5.8,7.1,103487,06057,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-120.7713429 39.2975082)
2021,CA,California,Shasta,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,36.8,,,32.2,41.6,182139,06089,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-122.0435558 40.7605142)
2021,CA,California,Monterey,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,72.8,,,69.1,76.5,437325,06053,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-121.3155781 36.2401044)
2020,CA,California,San Bernardino,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,24.7,,,20.8,28.8,2194710,06071,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-116.1815707 34.8566615)
2021,CA,California,Glenn,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,17.7,,,15.6,20.2,28805,06021,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-122.4016998 39.6025462)
2021,CA,California,Imperial,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,17.4,,,14.5,20.5,179851,06025,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-115.3554001 33.0408143)
2021,CA,California,Orange,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,5.4,,,4.8,6.1,3167809,06059,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-117.7772068 33.6756872)
2020,CA,California,Orange,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,31.7,,,30.6,32.8,3167809,06059,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-117.7772068 33.6756872)
2021,CA,California,Sonoma,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.3,,,8.7,12.1,485887,06097,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-122.9261095 38.5251824)
2021,CA,California,Imperial,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,14.2,,,11.2,17.5,179851,06025,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-115.3554001 33.0408143)
